id;abreviacion;descripcion;valor_conversion
1;Cambridgeshire navigate Licensed;Fantastic indexing;12748
2;syndicate haptic;Bedfordshire;40895
3;synthesize Baby Credit Card Account;Portugal Persistent;34569
4;Chips National Idaho;vortals value-added;61495
5;Customer;Avon;61145
6;Clothing;Personal Loan Account Awesome International;79008
7;Clothing deposit quantify;Checking Account markets;73644
8;Configuration;District Wooden Visionary;16552
9;yellow programming strategy;Czech Republic;59127
10;seize Handmade Plastic Mouse;auxiliary Money Market Account Cotton;41450
